date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
03:46:04	752/752	---MC-	200	added ('OK')	application/rss+xml	etag:%22b40c5f9ef8d7b061a56a7984bb56d5b0%22	http://www.sureassert.com/uc/guide/5-test-isolation/5-1-test-doubles/feed/	C:/Users/Nathan/Downloads/Sureassert%20UC/www.sureassert.com/uc/guide/5-test-isolation/5-1-test-doubles/feed/index.html	(from http://www.sureassert.com/uc/guide/5-test-isolation/5-1-test-doubles/)
03:46:04	0/0	---M--	301	error ('Moved%20Permanently')	text/html	date:Sat,%2004%20Mar%202017%2011:46:04%20GMT	http://www.sureassert.com/uc/?p=477	C:/Users/Nathan/Downloads/Sureassert%20UC/www.sureassert.com/uc/index778b.html	(from http://www.sureassert.com/uc/guide/5-test-isolation/5-1-test-doubles/)
03:46:04	2321/2321	---MC-	200	added ('OK')	application/json	date:Sat,%2004%20Mar%202017%2011:46:03%20GMT	http://www.sureassert.com/uc/wp-json/oembed/1.0/embed?url=http%3A%2F%2Fwww.sureassert.com%2Fuc%2Fguide%2F5-test-isolation%2F5-2-method-stubs%2F	C:/Users/Nathan/Downloads/Sureassert%20UC/www.sureassert.com/uc/wp-json/oembed/1.0/embed45c5.json	(from http://www.sureassert.com/uc/guide/5-test-isolation/5-2-method-stubs/)
03:46:04	0/0	---M--	301	error ('Moved%20Permanently')	text/html	date:Sat,%2004%20Mar%202017%2011:46:04%20GMT	http://www.sureassert.com/uc/?p=481	C:/Users/Nathan/Downloads/Sureassert%20UC/www.sureassert.com/uc/indexf705.html	(from http://www.sureassert.com/uc/guide/5-test-isolation/5-2-method-stubs/)
03:46:05	752/752	---MC-	200	added ('OK')	application/rss+xml	etag:%22b40c5f9ef8d7b061a56a7984bb56d5b0%22	http://www.sureassert.com/uc/guide/5-test-isolation/5-2-method-stubs/feed/	C:/Users/Nathan/Downloads/Sureassert%20UC/www.sureassert.com/uc/guide/5-test-isolation/5-2-method-stubs/feed/index.html	(from http://www.sureassert.com/uc/guide/5-test-isolation/5-2-method-stubs/)
03:46:05	2410/2410	---M-Z	200	added ('OK')	text/xml	date:Sat,%2004%20Mar%202017%2011:46:04%20GMT	http://www.sureassert.com/uc/wp-json/oembed/1.0/embed?url=http%3A%2F%2Fwww.sureassert.com%2Fuc%2Fguide%2F5-test-isolation%2F5-2-method-stubs%2F&format=xml	C:/Users/Nathan/Downloads/Sureassert%20UC/www.sureassert.com/uc/wp-json/oembed/1.0/embed6722	(from http://www.sureassert.com/uc/guide/5-test-isolation/5-2-method-stubs/)
03:46:06	2425/2425	---MC-	200	added ('OK')	application/json	date:Sat,%2004%20Mar%202017%2011:46:05%20GMT	http://www.sureassert.com/uc/wp-json/oembed/1.0/embed?url=http%3A%2F%2Fwww.sureassert.com%2Fuc%2Fguide%2F5-test-isolation%2F5-3-source-stubs-%25e2%2580%2593-directly-manipulating-the-code-under-test%2F	C:/Users/Nathan/Downloads/Sureassert%20UC/www.sureassert.com/uc/wp-json/oembed/1.0/embedcea8.json	(from http://www.sureassert.com/uc/guide/5-test-isolation/5-3-source-stubs-%e2%80%93-directly-manipulating-the-code-under-test/)
03:46:06	804/804	---MC-	200	added ('OK')	application/rss+xml	etag:%22b40c5f9ef8d7b061a56a7984bb56d5b0%22	http://www.sureassert.com/uc/guide/5-test-isolation/5-3-source-stubs-%e2%80%93-directly-manipulating-the-code-under-test/feed/	C:/Users/Nathan/Downloads/Sureassert%20UC/www.sureassert.com/uc/guide/5-test-isolation/5-3-source-stubs-%e2%80%93-directly-manipulating-the-code-under-test/feed/index.html	(from http://www.sureassert.com/uc/guide/5-test-isolation/5-3-source-stubs-%e2%80%93-directly-manipulating-the-code-under-test/)
03:46:06	0/0	---M--	301	error ('Moved%20Permanently')	text/html	date:Sat,%2004%20Mar%202017%2011:46:06%20GMT	http://www.sureassert.com/uc/?p=486	C:/Users/Nathan/Downloads/Sureassert%20UC/www.sureassert.com/uc/index2807.html	(from http://www.sureassert.com/uc/guide/5-test-isolation/5-3-source-stubs-%e2%80%93-directly-manipulating-the-code-under-test/)
03:46:06	2514/2514	---M-Z	200	added ('OK')	text/xml	date:Sat,%2004%20Mar%202017%2011:46:06%20GMT	http://www.sureassert.com/uc/wp-json/oembed/1.0/embed?url=http%3A%2F%2Fwww.sureassert.com%2Fuc%2Fguide%2F5-test-isolation%2F5-3-source-stubs-%25e2%2580%2593-directly-manipulating-the-code-under-test%2F&format=xml	C:/Users/Nathan/Downloads/Sureassert%20UC/www.sureassert.com/uc/wp-json/oembed/1.0/embedd1b0	(from http://www.sureassert.com/uc/guide/5-test-isolation/5-3-source-stubs-%e2%80%93-directly-manipulating-the-code-under-test/)
03:46:07	2424/2424	---MC-	200	added ('OK')	application/json	date:Sat,%2004%20Mar%202017%2011:46:06%20GMT	http://www.sureassert.com/uc/wp-json/oembed/1.0/embed?url=http%3A%2F%2Fwww.sureassert.com%2Fuc%2Fguide%2F5-test-isolation%2F5-4-expecting-stub-invocation-vstubs%2F	C:/Users/Nathan/Downloads/Sureassert%20UC/www.sureassert.com/uc/wp-json/oembed/1.0/embed8b50.json	(from http://www.sureassert.com/uc/guide/5-test-isolation/5-4-expecting-stub-invocation-vstubs/)
03:46:07	793/793	---MC-	200	added ('OK')	application/rss+xml	etag:%22b40c5f9ef8d7b061a56a7984bb56d5b0%22	http://www.sureassert.com/uc/guide/5-test-isolation/5-4-expecting-stub-invocation-vstubs/feed/	C:/Users/Nathan/Downloads/Sureassert%20UC/www.sureassert.com/uc/guide/5-test-isolation/5-4-expecting-stub-invocation-vstubs/feed/index.html	(from http://www.sureassert.com/uc/guide/5-test-isolation/5-4-expecting-stub-invocation-vstubs/)
03:46:07	0/0	---M--	301	error ('Moved%20Permanently')	text/html	date:Sat,%2004%20Mar%202017%2011:46:07%20GMT	http://www.sureassert.com/uc/?p=492	C:/Users/Nathan/Downloads/Sureassert%20UC/www.sureassert.com/uc/index9982.html	(from http://www.sureassert.com/uc/guide/5-test-isolation/5-4-expecting-stub-invocation-vstubs/)
03:46:07	2513/2513	---M-Z	200	added ('OK')	text/xml	date:Sat,%2004%20Mar%202017%2011:46:07%20GMT	http://www.sureassert.com/uc/wp-json/oembed/1.0/embed?url=http%3A%2F%2Fwww.sureassert.com%2Fuc%2Fguide%2F5-test-isolation%2F5-4-expecting-stub-invocation-vstubs%2F&format=xml	C:/Users/Nathan/Downloads/Sureassert%20UC/www.sureassert.com/uc/wp-json/oembed/1.0/embed0c5d	(from http://www.sureassert.com/uc/guide/5-test-isolation/5-4-expecting-stub-invocation-vstubs/)
03:46:08	2336/2336	---MC-	200	added ('OK')	application/json	date:Sat,%2004%20Mar%202017%2011:46:07%20GMT	http://www.sureassert.com/uc/wp-json/oembed/1.0/embed?url=http%3A%2F%2Fwww.sureassert.com%2Fuc%2Fguide%2F5-test-isolation%2F5-5-default-classes%2F	C:/Users/Nathan/Downloads/Sureassert%20UC/www.sureassert.com/uc/wp-json/oembed/1.0/embed1891.json	(from http://www.sureassert.com/uc/guide/5-test-isolation/5-5-default-classes/)
